tweet_asli,tweet_after_prepros,sentiment
di kehidupan yang singkat ini gw cuman mau buat ortu gw bangga dan menuhin salah satu wishlist gw yaitu nonton timnas langsung di gbk bulan maret nanti,hidup singkat cuman orang tua bangga menuhin salah wishlist tonton timnas langsung gbk maret,Negatif
 harusnya @.erickolim jangan pernah jadi ketum ya. nonton timnas ga seru lagi,erickolim tum iya tonton timnas seru,Negatif
ketua umum pssi erick thohir langsung pasang badan terkait nasib sty. erick menegaskan bahwa rentetan hasil buruk timnas indonesia menjadi tanggungjawabnya sebagai pimpinan federasi. https://t.co/yg5iyqbfhk,ketua pssi erick thohir langsung pasang badan kait nasib sty erick rentet hasil buruk timnas indonesia tanggungjawabnya pimpin federasi,Positif
 lu berharap menang dengan timnas yg baru lahir lawan timnas yg udah matang? lawak,harap menang timnas lahir lawan timnas matang lawak,Positif
  long throw argan plan b nya kan ? lagian ga normal lah pelatih diminta punya plan lebih dari 2 apalagi timnas yang latihannya ga lama. #stystay. btw ini bukan fifa/pes bang rating tinggi bisa lngsng menang,long throw argan plan b iya normal latih plan 2 timnas latih ngomong-ngomong fifapes abang rating lngsng menang,Positif
  gua ngerti lu kesel. tapi mendoakan timnas kalah itu aneh.,erti kesel doa timnas kalah aneh,Negatif
   lawan jepang kalah sih wajar saja krn jepang saat ini yg paling superior di asia tp kalo lawan china pun kalah berarti kelas levelnya timnas msh sebatas di asean tok aja,lawan jepang kalah sih wajar jepang superior asia lawan china kalah kelas level timnas batas asean tok,Negatif
 gada yg kurang min semua butuh proses. ttp dukung aja lah wong progres timnas jauh pesat kok. lagian pd ngarepin apa sih lawan rank 15 dunia? realistis lah kawan,min butuh proses dukung progres timnas pesat ngarepin sih lawan rank 15 dunia realistis kawan,Positif
lawannya jepang kagak usah drama. emang secara teknis kualitasnya jauh di atas timnas kita. tegakkan dagu dan fokus next match!,lawan jepang drama teknis kualitas timnas tegak dagu fokus match,Netral
 justru bagus un. digempur sama rank1 asia bisa ngasih banyak pelajaran langsung di lapangan. apalagi semalam mainnya fair. timnas pasti bakalan lebih keras lagi usahanya kedepannya.,bagus un gempur rank1 asia asih ajar langsung lapang malam main fair timnas keras usaha depan,Positif
 kalah sama timnas,kalah timnas,Negatif
  aowkaok baru ngikutin bola apa gimana si tol? luis milla di persib aja lari anjir malah disuruh ngelatih timnas lg,aowkaok ikut bola sih tol luis milla persib lari anjing suruh ngelatih timnas,Negatif
 gmna ya bang gw sedih mikirin timnas susah jg ngegeser sty banyak yg sadar dia minus tpi bnyk jg yg belain. pusing bngt sumpah gw expect dgn materi pemain skrng setidaknya kita bisa main kek tim-tim papan tengah belanda lah. tapi apa nyatanya,iya abang sedih pikir timnas susah ngegeser sty sadar minus bela pusing banget sumpah expect materi main main kayak timtim papan belanda,Negatif
 semoga next time bisa menang ya timnas kita,moga time menang iya timnas,Positif
  mau pelatihnya pep guardiola jose mourinho dll juga gak bakalan bisa menang lawan jepang kecuali ganti pemain timnas pusat ðÿ‡³ðÿ‡± mungkin bisa ngimbangi,latih pep guardiola jose mourinho lain menang lawan jepang kecuali ganti main timnas pusat ngimbangi,Netral
 metode gegenpressing ala jurgen klopp nggak cocok dipake timnas indonesia imho.,metode gegenpressing ala jurgen klopp cocok pakai timnas indonesia in my humble opinion,Negatif
percaya deh kalau mengandalkan pemain naturalisasi bakal mentok sampai sini aja gak bisa melaju lebih jauh knp? ya karena emang kualitas pemain naturalisasi bukan yg grade a yang mau memperkuat timnas indonesia,percaya deh andal main naturalisasi mentok laju iya kualitas main naturalisasi grade a kuat timnas indonesia,Positif
 gilak seragamnya aja adidas y-3 collab adidas sm designer legendaris jepang. sementara timnas indo erigo,gila seragam adidas y3 collab adidas designer legendaris jepang timnas indonesia erigo,Positif
penyebab timnas indonesia dibantai jepang: hujan bukan alasan! https://t.co/o0osoto5at,sebab timnas indonesia bantai jepang hujan alas,Negatif
   jelas2 nyambung ya bang. orang ini ga klimaks kalo sahwatnya ngeliat pelatih yg di benci ga dipecat2 bang si paling paham timnas melebihi sty pelatih timnasnya sendiri https://t.co/n9kjqzy826,jelas sambung iya abang orang klimaks sahwatnya latih benci dipecat2 abang sih paham timnas lebih sty latih timnasnya,Netral
  nah betul....fans bola fomo goblok maunya auto win....ntar masuk pildun harus juara 1.... sampe lupa pemain diaspora itu banyak yg masih kelompok umur sisanya pemain remah remah yg gak dilirik timnas belanda...dan itu dianggap setara messi dan ronaldo.,betulfans bola fomo bodoh mau auto winntar masuk pildun juara 1 lupa main diaspora kelompok umur sisa main remah remah lirik timnas belandadan anggap tara messi ronaldo,Negatif
  biasa bang.. fans fomo timnas baru pertama nyetadion ya gitu.. dikira nonton di stadion kayak nonton di tv kali.. padahal di stadion nonton + support.. di tv nonton aja...hehe,abang fan fomo timnas nyetadion iya tonton stadion kayak tonton tv kali stadion tonton support tv tonton ajahehe,Negatif
 mereka intinya udah masuk papan atas. tetapi belum puas. kok timnas jepang di piala dunia mentok di 16 besar terus. mereka udah target juara piala dunia tahun 2092.,inti masuk papan puas timnas jepang piala dunia mentok 16 target juara piala dunia 2092,Negatif
 akhir set 3 gak berani nnton blm siap jantungku abis timnas digeprek semalam mana jono kena comeback lg selamat jorjii,set 3 berani tonton jantung habis timnas digeprek malam jono kena comeback selamat jorjii,Negatif
    makanya kok ini di timnas hampir semua ada konten exclusive apa emang ada arahan kesitu nanti hasil dibagi sama atasan ya? dan dari manager timnas sendiri.,timnas konten exclusive arah kesitu hasil bagi atas iya manager timnas,Netral
 urusin aja timnas negara sendiri bapuk di semua kelompok umur baru menang lawan laos aja bangga itupun gol krna penalti wkwkwkwk,urus timnas negara bapuk kelompok umur menang lawan laos bangga itu gol penalti wkwkwkwk,Netral
takumi minamo menilai dirinya tak memiliki banyak kesempatan jadi ia tak menyiakan peluang. pemain as monaco itu menilai permainan bertahan timnas indonesia cukup kuat. https://t.co/zpov159czg,takumi minamo nilai milik sempat sia peluang main as monaco nilai main tahan timnas indonesia kuat,Positif
  menurut gua ini salahsatu proses yg dikerjain pssi biar timnas nya bagus wkwk,salahsatu proses dikerjain pssi biar timnas iya bagus wkwk,Positif
   hormat kami juga kepada para pemain jepang pendukung jepang dan kpada semuanya kami sadar kami belum sebaik kalian tapi kami yakin kami bisa menyusul kalian dengan semangat dan doa dari pemain pelatih &amp; seluruh pendukung timnas indonesi dimanapun we trust and we believe,hormat main jepang dukung jepang sadar susul semangat doa main latih amp dukung timnas indonesi mana we trust and we believe,Positif
kalah lawan jepang terus langsung minta pelatihnya out. lah kalahnya lawan jepang loh ini padahal yang udahmah emang jago trennya juga lagi ngeri banget. udah expected lose dari awal. gausah lebay kaya gapernah liat timnas jaman 2013-2019 aja,kalah lawan jepang langsung latih out kalah lawan jepang loh udahmah jago tren ngeri banget expected lose kayak lihat timnas jaman 20132019,Negatif
 kak saya ada day 2. vip package.,kak day 2 vip package,Netral
laga pertama timnas putri thailand peringkat fifa futsal ke-6 dunia melawan indonesia peringkat 24 dunia lets rock to the game! . indonesia (24th fifa futsal world rank) vs thailand (6th fifa futsal world rank) 16/11/2024 | 15.00 | philsport... . selengkapnya di instagram! https://t.co/ecoz7pbpmk,laga timnas putri thailand peringkat fifa futsal ke6 dunia lawan indonesia peringkat 24 dunia lets rock the game indonesia 24th fifa futsal world rank vs thailand 6th fifa futsal world rank 16112024 1500 philsport lengkap instagram,Positif
  serius lvg ada rumor mau ngelatih timnas? klo beneran sih layak dicoba tuh,serius lvg rumor ngelatih timnas benar sih layak coba tuh,Negatif
 cuman mau ingetin aja bro semalem yang kita lawan itu timnas jepang yak barangkali lupa,cuman saudara laki semalem lawan timnas jepang iya barangkali lupa,Netral
  emang timnas kalah baru lawan jepang ya?,timnas kalah lawan jepang iya,Negatif
 i don t need to explain since when i watched this national team kok wkwkw. i m just saying there s so many sports that get the attention they deserve. saya juga gak bilang kalo timnas gada perkembangannya bahkan dr masi sama alfred riedl runner up aff aja saya bangga banget.,i don t need explain since when i watched this national team wkwkw i just saying there si sok many sports that get the attention they deserve bilang timnas kembang alfred riedl runner up aff bangga banget,Positif
 kami tidak akan pernah lelah mendukung timnas indonesia,lelah dukung timnas indonesia,Positif
 semoga eliano masuk line up lawan arab besok aamiin belum puas liat dia baru satu kali main di timnas karena masih banyak skill yang belum dia keluarkan keep going eliano! #elianoreijnders https://t.co/9gzpjhniw9,moga eliano masuk line up lawan arab besok amin puas lihat kali main timnas skill keluar keep going eliano,Positif
eliano reijnders bernasib malang di timnas indonesia. dengan kemampuan dan kualitas cukup baik di liga belanda dua gim ia tak masuk skuad. #olahraga #adadikompas https://t.co/ajp1nurqwz,eliano reijnders nasib malang timnas indonesia mampu kualitas liga belanda gim masuk skuad,Negatif
 jepang menang kemarin? oke kita move on sambil nikmatin aroma khas kopi kapal api. waktunya recharge energi dan dukung timnas di laga berikutnya!,jepang menang kemarin oke move on nikmat aroma khas kopi kapal api recharge energi dukung timnas laga,Positif
nih orang orang yang komen begini ngikutin timnas dari kapan? pemain di bentuk belum ada setahun dan menuntut harus menang terus krn mereka main di eropa? heran banget gak pernah mau liat peringkat timnas sendiri sama peringkat timnas lawan turunin ekspektasi lo nyet!!,orang orang komen ikut timnas main bentuk tahun tuntut menang main eropa heran banget lihat peringkat timnas peringkat timnas lawan turunin ekspektasi monyet,Netral
 semoga timnas masuk ya,moga timnas masuk iya,Netral
all apprem ready ke  ya. sung wa on bio. vision seminggu private buat nonton timnas lawan arab juga ada. #zonauang,all apprem ready iya sung wa on bio vision minggu private tonton timnas lawan arab,Netral
 tetap semangat bro next match insyaallah main lawan arab dan jadi pahlawan kemenangan timnas ðÿ‡®ðÿ‡© #elianoreijnders https://t.co/rxdvefzqlx,semangat saudara laki match insyaallah main lawan arab pahlawan menang timnas,Positif
aya deuih nu ngtweet pemain timnas pemain top eropa semua wkwkw lucu anjg,aya deuih nu ngtweet main timnas main top eropa wkwkw lucu anjg,Positif
 aku ijin follow kamu ya pingin punya temen buat ngobrolin timnas,ijin follow iya pengin teman ngobrolin timnas,Netral
 sedih bangun2 dapet kabar inii tapi timnas pasti dah berusaha kann,sedih bangun2 kabar timnas usaha,Negatif
 sty out kesalahan fatal dia itu saat kalah lawan china dan permainannya juga gk berkembang sama sekali sayang banget dgn materi pemain timnas saat ini gk bisa dimaksimalin bayangin aja klo dia masih dipake untuk piala asia 2027 nanti klo soal piala dunia gk mungkin lolos sih,sty out salah fatal kalah lawan china main kembang sayang banget materi main timnas dimaksimalin bayang pakai piala asia 2027 piala dunia lolos sih,Negatif
 disini komen pada bilang sty harus minta maap ngapain minta maap orang lawannya japan lu paham japan ga sih sekuat apa? kalo ga paham berarti cuman jadi pendukung timnas yg fomo doang. kalo lawan timor leste kalah baru minta maap netizen kok koplok semua.,komen bilang sty maaf kapai maaf orang lawan japan paham japan sih kuat paham cuman dukung timnas fomo doang lawan timor leste kalah maaf netizen koplok,Netral
penyerang fc utrecht ole romeny diduga telah tiba di indonesia dan siap menjalani proses naturalisasi untuk bisa membela timnas indonesia. #oleromeny #naturalisasi #timnasindonesia #cibubur #sepakbolaindonesia https://t.co/95cgaxorcq,serang fc utrecht ole romeny duga indonesia jalan proses naturalisasi bela timnas indonesia,Netral
  apanya yang cooked kayak timnas sering menang aja,apa cooked kayak timnas menang,Negatif
 liga pelan2 sedang diperbaiki timnas pelan2 sedang diperbaiki timnas wanita pelan2 sedang diperbaiki attitude suporternya? hehehehe,liga pelan2 baik timnas pelan2 baik timnas wanita pelan2 baik attitude suporter hehehehe,Positif
 gagal di lapangan bukan akhir segalanya sama kayak nggak ada yang gagal kalau soal nyeduh kopi kapal api. rasa tetap juara di setiap seruput! timnas tetap semangat!,gagal lapang kayak gagal nyeduh kopi kapal api juara seruput timnas semangat,Negatif
kevin diks menjalani debutnya bersama timnas indonesia saat jumpa jepang. pemain fc copenhagen itu terkesan atmosfer stadion utama gelora bung karno (sugbk). https://t.co/tciso3k7xq,kevin diks jalan debut timnas indonesia jumpa jepang main fc copenhagen kes atmosfer stadion utama gelora karno sugbk,Positif
 sadar ga si timnas tiap main di gbk yg rumputnya jelek selalu underperform dibandingkan main diluar kaya di arab cina kmrin walaupun kalah mainnya enak dan solid pas lawan argentina jg bisa dibilang timnas ok karena waktu itu lapangannya mendukung,sadar sih timnas main gbk rumput jelek underperform banding main luar kayak arab cina kemarin kalah main enak solid pas lawan argentina bilang timnas ok lapang dukung,Positif
 itu dia kuncinya pembinaan pemain muda yang baik dan benar. pemain inti timnas jepang yang berhasil abroad dan jadi pemain kunci di klubnya ya hasil dari pembinaan pemain muda yang baik dan benar. jangan malu lah kita copy paste dari jfa.,kunci bina main muda main inti timnas jepang hasil abroad main kunci klub iya hasil bina main muda malu copy paste jfa,Positif
  emang di bawah dia sekarang skema piramida pembinaan liga indo gimana? kualitas liga kita gimana? emang pssi cuma timnas aja?,skema piramida bina liga indonesia kualitas liga pssi timnas,Positif
     ga sabaran itu pemain tiap break fmd selalu ada yg baru. gimana mau minta line-up pakem? kalo pemain baru ya ga dimaininpun mereka ngamuk. kita main bagus di piala asia jg karna chemistry yg dilaluin skuad awal sty. timnas skrg jg butuh waktu buat adapted dan jadi lebih kompak,sabar main break fmd lineup pakem main iya dimaininpun ngamuk main bagus piala asia chemistry dilaluin skuad sty timnas butuh adapted kompak,Netral
ekspektasi fans timnas ini emang jadi ketinggian semenjak bisa menang lawan korea di u-23 kemarin sih. belum lagi kemakan jargon2 king indo seolah2 kita udah jago padahal di reality nya ya kita masih jadi tim yang lagi coba berkembang aja.,ekspektasi fan timnas tinggi semenjak menang lawan korea u23 kemarin sih makan jargon2 king indonesia seolah2 jago reality iya iya tim coba kembang,Positif
     ya berarti lu bakalan sentimen brkepnjangan karena katanya pak arya lagi neh pssi sekarang itu mntargetkan 100 pemain utk database pemain timnas ya lu bayangin aja sekarang baru berapa kalo dokumn y gue juga gk tau udah bnyak yg kritik juga,iya sentimen brkepnjangan arya pssi mntargetkan 100 main database main timnas iya bayang dokumn iya kritik,Negatif
 kak saya ada 2 tiket di bkk. day 2. vip. boleh dm kalau minat,kak 2 tiket bkk day 2 vip dm minat,Positif
 lebay banget timnas arab kontoll,banget timnas arab kontoll,Positif
 prediksi timnas indonesia bisa dapat 9 point dari arab saudi bahrain dan china. estimasi kalah dari jepang dan australia,prediksi timnas indonesia 9 point arab saudi bahrain china estimasi kalah jepang australia,Negatif
timeline isinya kek pada sedih dan ngerasa sebenernya bisa menang lawan jepang gini wkwk. padahal emang levelnya jepang udah jauh lebih tinggi dibanding timnas kita. berangan-angan emang boleh cuma ya harus siap juga kalo emang kenyataannya ga sesuai sama yang diharapkan.,timeline isi kayak sedih menang lawan jepang wkwk level jepang banding timnas beranganangan iya nyata sesuai harap,Negatif
 semoga timnas makin jaya,moga timnas jaya,Positif
brisik bat timnas ncib,brisik banget timnas ncib,Positif
mengomnteri pertandingan semalam gak ada yg perlu disalahkan dari timnas qta. fakta berkata memang jepang itu levelnya sudah dunia. kualitas pemainnya itu sudah di atas rata2 pemain eropa jg. so jepang sangat layak untuk menang telak. #styout,mengomnteri tanding malam salah timnas fakta jepang level dunia kualitas main rata main eropa sok jepang layak menang telak,Negatif
    so pointnya adalah di sisi kanan pertahan diisi oleh dua pmain yg scara bahasa berbeda. coba bayangkan serumit apa internal timnas skarang yg dalam kmnikasinya bsa mmakai 4 bahasa (indo inggris blanda bahkan korea),sok point sisi kanan tahan isi pmain scara bahasa beda coba bayang rumit internal timnas kmnikasinya mmakai 4 bahasa indonesia inggris blanda korea,Negatif
heran fans timnas lawan jepang berharap menang wkwk,heran fan timnas lawan jepang harap menang wkwk,Netral
arab saudi 2 indonesia 0 di gbk #styout #timnasday #kevindiks baru kali ini dukung timnas di bantai biar orang korsel ini cepet balik ke korsel udah turun mesin,arab saudi 2 indonesia 0 gbk kali dukung timnas bantai biar orang korsel cepat korsel turun mesin,Netral
 misal kalau sty out apa tidak coba peter huistra pelatih borneo fc? beliau pernah di timnas jadi dirtek walaupun gak lama dan keuntungn lainnya sama sama dari belanda sehingga punya cemistry yang kuat serta komunikasi yang lancar,sty out coba peter huistra latih borneo fc beliau timnas dirtek keuntungn belanda cemistry kuat komunikasi lancar,Netral
pelatih jepang hajime moriyasu bicara soal peluang timnas indonesia lolos ke piala dunia 2026 setelah kembali mengalami kekalahan menurut moriyasu skuad garuda masih memiliki peluang. dia menyebut para pemain timnas indonesia memiliki kualitas yang layak lolos ke piala dunia https://t.co/57liczdt8z,latih jepang hajime moriyasu bicara peluang timnas indonesia lolos piala dunia 2026 alami kalah moriyasu skuad garuda milik peluang sebut main timnas indonesia milik kualitas layak lolos piala dunia,Negatif
 bayangin itu katanya bikin koreo habis puluhan juta loh. masak masih nanya seberapa besar cintanya kita sama timnas kita dikit-dikit bilang yg tau cuman sty halah pret,bayang bikin koreo habis puluh juta loh masak cinta timnas dikitdikit bilang cuman sty halah pret,Positif
 bola itu bundar peluang masih banyak buat timnas kita kaya rasa kopi kapal api yang nggak pernah habis-habis bikin harimu lebih nikmat. yuk seruput dulu gan!,bola bundar peluang timnas kayak kopi kapal api habishabis bikin hari nikmat yuk seruput juragan,Negatif
dijebol 4 gol takumi minamino soroti pertahanan timnas indonesia pemain jepang takumi minamino menyoroti pertahanan timnas indonesia yang sudah rapat sejak awal pertandingan. https://t.co/vachqjg3ga,jebol 4 gol takumi minamino sorot tahan timnas indonesia main jepang takumi minamino sorot tahan timnas indonesia rapat tanding,Positif
#foto usai menggelar laga timnas indonesia memiliki kebiasaan untuk menyanyikan lagu indonesia pusaka dan menyapa pendukung. begini momennya. &gt;&gt; https://t.co/quzr0peagd foto: rifkianto nugroho/detikcom https://t.co/6nni6fdl3p,gelar laga timnas indonesia milik biasa nyanyi lagu indonesia pusaka sapa dukung momen gtgt foto rifkianto nugrohodetikcom,Positif
timnas indonesia ditekuk jepang 0-4 calvin verdonk: hujan bukan alasan https://t.co/v5byqmqjja,timnas indonesia tekuk jepang 04 calvin verdonk hujan alas,Netral
kebodohan kemarin mau nonton timnas subscribe nya malah vidio,bodoh kemarin tonton timnas subscribe iya vidio,Negatif
 ya sebenernya gpp dia pemain muda yang punya potensi untuk berkembang bersama pemain muda lainnya. dan dia juga udah milih untuk memilih menjadi wni dan bersaing untuk tempat di timnas indonesia,iya apa main muda potensi kembang main muda pilih pilih wni saing timnas indonesia,Negatif
   salah satu alesan males nntn timnas ya ini . suru duduk mulu wkwk,salah alesan malas tonton timnas iya suruh duduk melulu wkwk,Negatif
 waktu menang sombongnya setinggi langit. waktu kalah salahin sana sini. gak sadar kalo lawannya ini jepang pelanggan setia piala dunia. tugas kalian itu cuma dukung. gausa jadi pelatih online. tim pelatih dah tau mana yg terbaik untuk timnas. kalah itu bagian dari permainan juga,menang sombong langit kalah salah sadar lawan jepang langgan setia piala dunia tugas dukung latih online tim latih baik timnas kalah main,Negatif
bhabinkamtibmas kelurahan tegalrejo aipda indarno sh melakukan monitoring dan pengamanan acara nonton bareng (nobar) pertandingan timnas indonesia vs jepang dalam kualifikasi piala dunia. kegiatan berlangsung di pendopo kelurahan tegalrejo https://t.co/qutkakeuc4,bhabinkamtibmas lurah tegalrejo aipda indarno sh monitoring aman acara tonton bareng tonton bareng tanding timnas indonesia vs jepang kualifikasi piala dunia giat pendopo lurah tegalrejo,Netral
media malaysia sindir timnas indonesia yang dibantai jepang 4-0 https://t.co/fuxq79dxly,media malaysia sindir timnas indonesia bantai jepang 40,Negatif
   sok paling intelektual bales opini aja ga bisa. ngatain fomo modal pernah nonton timnas di gbk 1-2 tahun ini,sok intelektual balas opini katai fomo modal tonton timnas gbk 12,Netral
dibanding sebelum piala asia 2023 &amp; u23 exposure masyarakat ke timnas belum setinggi skrg justru stlh itu &amp; federasi mulai bnyk naturalisasi malah tekenannya makin menjadi blm lg media dsb.. jd emg udh saatnya membumi dulu jgn ksh pressure ke sty &amp; pemain2 enjoy the proses.,banding piala asia 2023 amp u23 exposure masyarakat timnas amp federasi naturalisasi teken media dsb bumi kasih pressure sty amp pemain2 enjoy the proses,Positif
yg hrs dibenahi justru federasi &amp; fansnya jelas federasi lg over branding bgt makanya itu jd pressure bgt ke sty ama pemain masyarakat pun akhirnya punya ekspetasi tinggi klo kyk gini mulu mau guardiola disuru ngelatih jg gk solve problem casenya kyk mu lah timnas ini skrg.,benah federasi amp fansnya federasi over branding banget pressure banget sty main masyarakat ekspetasi kayak melulu guardiola disuru ngelatih solusi casenya kayak mu timnas,Positif
pecinta timnas vs pecinta sty lagi adu debat #styout,cinta timnas vs cinta sty adu debat,Netral
 bagian dimana pssi lambat dalam menangani kompetisi dalam negeri udah setahun lebih kompetisi masih begini aja. road map juga gak jelas mereka maunya instan jangka pendek lewat naturalisasi timnas dulu yaudah kita tagih hasil instan juga kan masih begini gini juga wkwkwk,mana pssi lambat tangan kompetisi negeri tahun kompetisi road map mau instan jangka pendek naturalisasi timnas ya tagih hasil instan wkwkwk,Positif
 aku ketika hype timnas tapi abis itu inget wapres kita fufufafa https://t.co/zqy0ocal7z,hype timnas habis wapres fufufafa,Netral
  pegang cakap gue timnas bisa curi 9 poin dari sisa 5 laga diatas,pegang cakap timnas curi 9 poin sisa 5 laga atas,Negatif
banyak sekali kritik tentang timnas kita. pro dan kontra tentang segala langkah yang diambil oleh federasi. sebelumnya mau disclaimer dlu saya hanya penikmat bola orang awam yang mencintai olahraga bola. mau sedikit beropini tentang lika liku timnas boleh ya,kritik timnas profesional kontra langkah ambil federasi disclaimer nikmat bola orang awam cinta olahraga bola opini lika liku timnas iya,Positif
bangun dengan perasaan sedih ingat timnas,bangun asa sedih timnas,Negatif
  kaitu pang aku malam tadi melihat timnas,kaitu pang malam timnas,Negatif
 timnas kualitasnya kek gini aja netizen udah sebego ini apalagi timnasnya jago,timnas kualitas kayak netizen bego timnasnya jago,Positif
  ini malah pemain mudanya overuse di timnas. liat aja doni tri wkwkwk,main muda overuse timnas lihat doni tri wkwkwk,Positif
mau sampai kapan salahin sty timnas kita bisa sejauh ini aja udah syukur banget punya pemain2 bagus yang bener2 bikin enjoy kalo nonton. yang sakit tu suporter indo yang ngebet hasil instan,salah sty timnas syukur banget pemain2 bagus benar bikin enjoy tonton sakit suporter indonesia ngebet hasil instan,Positif
 sorii aku lebih takut kehilangan pak  daripada kehilangan sty mungkin uda saatnya kita cari pelatih yang bisa bahasa inggris dan belanda karena native speaker timnas kita sekarang uda bahasa inggris dan belanda datanglah gio van bronckhorst jonk ambon asli!!!! https://t.co/ea6vjedw2z,sori takut hilang hilang sty cari latih bahasa inggris belanda native speaker timnas bahasa inggris belanda datang gio van bronckhorst jonk ambon asli,Negatif
jadi ketum timnas aja jangan ketum pssi,tum timnas tum pssi,Netral
eliano reijnders egy dan r sananta dicoret dari dsp timnas indonesia erick thohir buka suara https://t.co/to8mordjy8 #timnasday #timnasindonesia #elianoreijnders #erickthohir #shintaeyong,eliano reijnders egy r sananta coret dsp timnas indonesia erick thohir buka suara,Netral
